Contest,Team,Institution,Performance
AUST 2025,SUST Fanatics,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,4000.0
AUST 2025,DU_Primordius,UNIVERSITY OF DHAKA,3718.838528358014
AUST 2025,BUET_hotasha,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,3436.031496945276
AUST 2025,Infinite_Tsukuyomi,CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,3149.830894774638
AUST 2025,998244353,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,3086.8342768791454
AUST 2025,JU_the0dd1out,JAHANGIRNAGAR UNIVERSITY,3025.0975913415627
AUST 2025,BRACU_Crows,BRAC UNIVERSITY,2744.6822307607995
AUST 2025,DADS_DJ,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,2689.7885861455834
AUST 2025,DU_Singularity,UNIVERSITY OF DHAKA,2635.992814422672
AUST 2025,BUET_ALUCHASHI,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,2583.2729581342187
AUST 2025,BUET_Supernova,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,2531.607498971534
AUST 2025,DU_3U,UNIVERSITY OF DHAKA,2480.9753489921036
AUST 2025,IUT_Lycoris,ISLAMIC UNIVERSITY OF TECHNOLOGY,2219.5140666534708
AUST 2025,IUT_EldenString,ISLAMIC UNIVERSITY OF TECHNOLOGY,2175.1237853204007
AUST 2025,CUET_Pirates,CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,2131.6213096139927
AUST 2025,DU_Rumbling,UNIVERSITY OF DHAKA,2088.988883421713
AUST 2025,SUST_LongDistance,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,2047.2091057532787
AUST 2025,NSU_PyramidSchemers,NORTH SOUTH UNIVERSITY,2006.264923638213
AUST 2025,IUT_Blue,ISLAMIC UNIVERSITY OF TECHNOLOGY,1966.1396251654487
AUST 2025,BRACU_BugPlatoon,BRAC UNIVERSITY,1926.8168326621399
