Institution,Rating
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,3117
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,2869
UNIVERSITY OF DHAKA,2677
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,2520
ISLAMIC UNIVERSITY OF TECHNOLOGY,2368
BRAC UNIVERSITY,2247
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1842
COMILLA UNIVERSITY,1836
KHULNA UNIVERSITY,1797
JAHANGIRNAGAR UNIVERSITY,1793
NORTH SOUTH UNIVERSITY,1745
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,1739
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,1709
DAFFODIL INTERNATIONAL UNIVERSITY,1701
UNIVERSITY OF RAJSHAHI,1531
SYLHET ENGINEERING COLLEGE,1467
LEADING UNIVERSITY,1451
GREEN UNIVERSITY OF BANGLADESH,1418
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,1403
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,1371
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,1348
ISLAMIC UNIVERSITY,1296
UNIVERSITY OF CHITTAGONG,1256
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,1206
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,1148
METROPOLITAN UNIVERSITY,1141
EAST WEST UNIVERSITY,1137
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,1011
UNIVERSITY OF BARISAL,944
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,944
EASTERN UNIVERSITY,772
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,749
NETROKONA UNIVERSITY,744
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,695
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,662
EAST DELTA UNIVERSITY,632
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,624
NATIONAL UNIVERSITY,572
UNITED INTERNATIONAL UNIVERSITY,519
UNIVERSITY OF ASIA PACIFIC,511
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,481
JAGANNATH UNIVERSITY,473
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,460
DHAKA CITY COLLEGE,458
CITY UNIVERSITY,418
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,414
INTERNATIONAL ISLAMI UNIVERSITY OF SCIENCE AND TECHNOLOGY BANGLADESH,413
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,412
PREMIER UNIVERSITY,405
"UNIVERSITY OF FRONTIER TECHNOLOGY, BANGLADESH",401
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,365
DHAKA INTERNATIONAL UNIVERSITY,364
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),355
KISHOREGANJ UNIVERSITY,344
PRIME UNIVERSITY,343
SONARGAON UNIVERSITY,331
SOUTHEAST UNIVERSITY,300
UTTARA UNIVERSITY,283
VARENDRA UNIVERSITY,280
NORTH EAST UNIVERSITY BANGLADESH,271
INSTITUTE OF SCIENCE AND TECHNOLOGY,234
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,228
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,225
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,225
BANGLADESH UNIVERSITY OF PROFESSIONALS,225
BGC TRUST UNIVERSITY BANGLADESH,225
INSTITUTE OF SCIENCE TRADE & TECHNOLOGY (ISTT),215
"BEGUM ROKEYA UNIVERSITY, RANGPUR",214
PRESIDENCY UNIVERSITY,202
MANARAT INTERNATIONAL UNIVERSITY,192
NOTRE DAME UNIVERSITY BANGLADESH,180
PORT CITY INTERNATIONAL UNIVERSITY,160
FENI UNIVERSITY,151
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,129
"INDEPENDENT UNIVERSITY, BANGLADESH",128
BANGLADESH AGRICULTURAL UNIVERSITY,125
FARIDPUR ENGINEERING COLLEGE,112
BANGAMATA SHEIKH FOJILATUNNESA MUJIB SCIENCE AND TECHNOLOGY UNIVERSITY,103
R. P. SHAHA UNIVERSITY,92
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,91
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,78
INTERNATIONAL UNIVERSITY OF SCHOLARS,77
MYMENSINGH ENGINEERING COLLEGE,77
DAFFODIL INSTITUTE OF IT (DIIT),66
TEJGAON COLLEGE,65
KHWAJA YUNUS ALI UNIVERSITY,65
SYLHET INTERNATIONAL UNIVERSITY,62
WORLD UNIVERSITY OF BANGLADESH,62
BANGLADESH UNIVERSITY,60
BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,58
EUROPEAN UNIVERSITY OF BANGLADESH,49
CHITTAGONG INDEPENDENT UNIVERSITY,44
CANADIAN UNIVERSITY OF BANGLADESH,42
"NORTH WESTERN UNIVERSITY, KHULNA",41
NORTHERN UNIVERSITY BANGLADESH,40
"IMPERIAL COLLEGE OF ENGINEERING, KHULNA",38
CHATTOGRAM POLYTECHNIC INSTITUTE,37
BANGLADESH UNIVERSITY OF TEXTILES,35
RANGPUR ENGINEERING COLLEGE,34
UNIVERSITY OF GLOBAL VILLAGE,30
GONO BISHWABIDYALAY (GONO UNIVERSITY),28
RANGPUR POLYTECHNIC INSTITUTE,24
ASIAN UNIVERSITY OF BANGLADESH,23
UNIVERSITY OF LIBERAL ARTS BANGLADESH,22
"UNIVERSITY OF CREATIVE TECHNOLOGY, CHITTAGONG",20
INTERNATIONAL STANDARD UNIVERSITY,14
TMSS ENGINEERING COLLEGE,13
FAREAST INTERNATIONAL UNIVERSITY,11
BANGLADESH OPEN UNIVERSITY,10
TEESTA UNIVERSITY,9
RTM AL-KABIR TECHNICAL UNIVERSITY,9
Z. H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,7
STATE UNIVERSITY OF BANGLADESH,6
THAKURGAON POLYTECHNIC INSTITUTE,5
SOUTHERN UNIVERSITY BANGLADESH,5
"COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY, MYMENSINGH",5
HAMDARD UNIVERSITY BANGLADESH,4
ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,0
GERMAN UNIVERSITY BANGLADESH,0
HEADWAY ENGINEERING INSTITUTE | SYLHET,0
BRAHMANBARIA POLYTECHNIC INSTITUTE,0
BARISAL INFORMATION TECHNOLOGY COLLEGE,0
CENTRAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0
CENTRAL WOMENS UNIVERSITY,0
DAFFODIL INTERNATIONAL COLLEGE,0
"DELTA COMPUTER SCIENCE COLLEGE, RANGPUR",0
PRIMEASIA UNIVERSITY,0
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,0
PABNA ENGINEERING COLLEGE,0
PIROJPUR SCIENCE AND TECHNOLOGY UNIVERSITY,0
STAMFORD UNIVERSITY BANGLADESH,0
SUNAMGONJ SCIENCE & TECHNOLOGY UNIVERSITY,0
SHEIKH FAZILATUNNESA MUJIB UNIVERSITY,0
UNITED COLLEGE OF AVIATION SCIENCE AND MANAGEMENT,0
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,
BANGLADESH DIGITAL UNIVERSITY,
BGIFT INSTITUTE OF SCIENCE AND TECHNOLOGY,
DHAKA RESIDENTIAL MODEL COLLEGE,
DR. SEKANDAR ALI COLLEGE,
"GOVT. SHAHID SUHRAWARDY COLLEGE, DHAKA",
SIMT ENGINEERING COLLEGE,
UNIVERSITY OF DEVELOPMENT ALTERNATIVE,
