Institution,Rank After NDUB 2026,Rank After BUET 2026,Rank After ICPC 2025,Rank After CUET 2025,Rank After MU 2025,Rank After UU 2025,Rank After DUET 2025,Rank After AUST 2025,Rank After UIU 2025,Rank After KUET 2025,Rank After ICPC 2024,Rank After BUET 2024,Rank After IUT 2024,Rank After NCPC 2024,Rank After SUST 2024,Rank After CUET 2024
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1,1,1,1,1,1,3,3,3,3,3,4,2,2,2,3
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
UNIVERSITY OF DHAKA,3,3,3,6,4,3,2,2,2,2,2,2,4,4,6,13
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,4,4,4,4,5,6,5,5,5,5,4,8,11,12,18,10
ISLAMIC UNIVERSITY OF TECHNOLOGY,5,5,5,3,6,5,6,6,7,7,6,7,5,5,4,6
BRAC UNIVERSITY,6,6,6,5,3,4,4,4,4,4,5,5,3,3,3,2
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,7,11,10,15,12,10,10,12,15,16,18,15,8,11,14,12
COMILLA UNIVERSITY,8,9,8,11,14,11,8,9,8,6,7,12,10,16,16,22
KHULNA UNIVERSITY,9,26,27,23,16,17,15,13,12,12,11,14,16,29,,
JAHANGIRNAGAR UNIVERSITY,10,7,7,8,7,8,7,7,9,9,9,6,7,8,12,15
NORTH SOUTH UNIVERSITY,11,13,13,9,13,14,17,18,19,22,22,17,18,15,15,14
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,12,15,25,27,25,19,14,17,17,17,17,16,14,14,13,17
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,13,10,11,10,8,7,9,8,6,8,8,3,6,6,7,24
DAFFODIL INTERNATIONAL UNIVERSITY,14,8,9,7,9,15,11,10,11,11,12,20,28,34,29,34
UNIVERSITY OF RAJSHAHI,15,18,16,12,15,12,13,16,16,15,15,13,9,7,5,4
SYLHET ENGINEERING COLLEGE,16,20,20,22,22,25,21,20,20,19,19,25,22,20,19,11
LEADING UNIVERSITY,17,23,24,20,21,18,24,29,24,25,24,21,27,33,31,23
GREEN UNIVERSITY OF BANGLADESH,18,17,21,16,28,35,32,28,27,24,25,23,43,41,37,45
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,19,12,12,14,18,24,26,24,28,33,33,27,36,28,36,
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,20,14,15,19,26,21,23,26,25,27,26,19,13,10,9,7
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,21,16,14,13,17,16,16,15,14,14,14,9,12,9,11,8
ISLAMIC UNIVERSITY,22,31,32,32,29,27,22,21,18,18,16,22,25,24,22,
UNIVERSITY OF CHITTAGONG,23,19,17,29,23,23,20,19,21,20,20,41,31,25,28,19
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,24,24,23,24,24,20,19,22,22,21,21,28,26,23,26,33
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,25,22,19,21,20,30,28,25,26,26,27,24,19,18,17,16
METROPOLITAN UNIVERSITY,26,21,22,28,27,26,33,38,39,45,46,44,34,27,27,20
EAST WEST UNIVERSITY,27,25,18,17,11,9,12,14,13,13,13,11,15,13,8,5
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,28,29,28,26,30,29,27,31,31,29,31,29,32,49,44,28
UNIVERSITY OF BARISAL,29,27,29,25,19,22,35,33,32,30,28,30,20,22,20,36
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,30,28,26,18,10,13,18,11,10,10,10,10,17,19,21,21
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,31,30,30,31,34,34,29,32,33,31,30,35,44,40,35,39
NETROKONA UNIVERSITY,32,37,37,35,33,37,38,37,34,32,32,58,57,52,45,27
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,33,32,31,38,36,36,30,34,43,40,39,32,39,31,53,
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,34,34,34,33,31,31,31,27,30,28,29,36,45,39,33,
EAST DELTA UNIVERSITY,35,35,35,30,32,32,34,35,35,35,35,37,40,36,32,26
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,36,33,33,36,35,28,25,23,29,34,38,33,29,26,24,35
NATIONAL UNIVERSITY,37,36,36,40,39,39,37,36,37,36,36,39,38,37,38,
UNITED INTERNATIONAL UNIVERSITY,38,40,38,37,38,41,39,41,38,39,44,38,30,30,25,25
UNIVERSITY OF ASIA PACIFIC,39,45,43,43,44,47,47,44,44,44,42,40,47,43,41,41
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,40,39,40,44,41,54,55,74,73,82,79,70,70,,,
JAGANNATH UNIVERSITY,41,38,41,39,40,38,41,39,36,37,34,26,24,59,,
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,42,42,39,34,37,33,52,48,48,46,64,74,73,69,,
DHAKA CITY COLLEGE,43,59,60,49,47,45,44,49,50,48,45,47,37,38,52,49
CITY UNIVERSITY,44,54,52,52,49,89,91,86,87,85,89,,,,,
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,45,49,50,50,48,49,46,54,58,54,53,54,63,63,58,48
INTERNATIONAL ISLAMI UNIVERSITY OF SCIENCE AND TECHNOLOGY BANGLADESH,46,70,70,78,81,78,81,69,66,62,61,60,,,,
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,47,41,42,42,56,53,53,51,49,47,47,48,48,45,39,29
EASTERN UNIVERSITY OF BANGLADESH,48,44,44,109,109,109,109,107,106,105,104,,,,,
PREMIER UNIVERSITY,49,43,45,41,50,48,49,58,59,55,50,50,50,47,40,30
"UNIVERSITY OF FRONTIER TECHNOLOGY, BANGLADESH",50,62,77,61,66,62,65,60,60,101,100,,,,,
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,51,61,58,57,57,58,63,61,57,53,51,46,41,35,30,37
DHAKA INTERNATIONAL UNIVERSITY,52,60,57,56,54,51,50,45,47,73,80,71,71,,,
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),53,46,49,46,43,42,42,46,45,42,43,34,33,32,,
KISHOREGANJ UNIVERSITY,54,47,47,45,62,61,60,59,55,52,52,51,54,54,49,42
PRIME UNIVERSITY,55,58,59,54,52,52,48,50,65,64,62,52,52,57,54,44
SONARGAON UNIVERSITY,56,48,46,73,69,69,67,79,79,76,74,80,79,70,,
SOUTHEAST UNIVERSITY,57,51,48,47,42,40,36,30,23,23,23,18,51,51,61,
UTTARA UNIVERSITY,58,53,67,65,75,73,76,66,67,68,68,63,61,,,
VARENDRA UNIVERSITY,59,50,54,59,58,56,56,57,61,58,57,56,55,55,46,
NORTH EAST UNIVERSITY BANGLADESH,60,57,56,51,51,57,59,56,53,57,55,59,58,53,47,32
PRESIDENCY UNIVERSITY,61,64,63,74,71,71,69,107,106,105,104,,,,,
INSTITUTE OF SCIENCE AND TECHNOLOGY,62,55,53,53,46,46,40,40,40,38,37,31,23,17,10,9
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,63,52,51,60,61,59,61,67,69,72,70,64,62,,,
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,64,65,62,58,53,50,54,93,90,88,85,77,76,65,62,
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,65,75,74,62,64,63,62,62,56,51,49,45,35,67,,
BANGLADESH UNIVERSITY OF PROFESSIONALS,66,63,61,55,55,44,45,42,41,61,59,61,59,56,50,50
BGC TRUST UNIVERSITY BANGLADESH,67,66,65,103,103,103,103,101,100,98,96,83,82,73,,
INSTITUTE OF SCIENCE TRADE & TECHNOLOGY (ISTT),68,69,68,91,90,91,89,75,75,71,71,81,80,71,,
"BEGUM ROKEYA UNIVERSITY, RANGPUR",69,56,55,48,45,43,43,43,42,41,40,43,42,42,51,43
MANARAT INTERNATIONAL UNIVERSITY,70,84,117,109,109,109,109,107,106,105,104,,,,,
NOTRE DAME UNIVERSITY BANGLADESH,71,99,98,90,86,90,86,80,106,105,104,85,84,,,
PORT CITY INTERNATIONAL UNIVERSITY,72,68,66,72,60,55,51,47,46,43,41,55,53,50,42,31
FENI UNIVERSITY,73,67,64,64,59,64,58,52,52,49,48,42,21,21,23,18
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,74,71,72,76,72,76,73,65,70,66,66,62,60,58,59,52
"INDEPENDENT UNIVERSITY, BANGLADESH",75,73,69,63,63,60,57,53,51,56,54,53,46,44,43,46
BANGLADESH AGRICULTURAL UNIVERSITY,76,72,71,71,77,74,75,84,84,83,95,85,84,,,
FARIDPUR ENGINEERING COLLEGE,77,74,75,77,76,75,74,63,62,60,60,84,83,74,,
BANGAMATA SHEIKH FOJILATUNNESA MUJIB SCIENCE AND TECHNOLOGY UNIVERSITY,78,76,73,79,82,79,82,70,68,63,63,57,56,48,48,38
R. P. SHAHA UNIVERSITY,79,80,76,66,65,65,64,55,54,50,56,76,75,62,56,47
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,80,77,78,75,74,72,70,64,63,65,65,67,67,60,55,40
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,81,78,79,67,67,66,66,76,76,87,84,,,,,
INTERNATIONAL UNIVERSITY OF SCHOLARS,82,83,83,101,101,101,101,95,96,95,92,,,,,
MYMENSINGH ENGINEERING COLLEGE,83,79,80,68,68,67,68,98,95,94,88,75,74,64,60,
DAFFODIL INSTITUTE OF IT (DIIT),84,81,81,69,70,68,71,100,99,97,94,82,81,72,,
TEJGAON COLLEGE,85,82,82,70,73,70,72,94,93,91,86,79,78,68,,
KHWAJA YUNUS ALI UNIVERSITY,86,85,84,81,80,83,84,89,89,89,104,,,,,
SYLHET INTERNATIONAL UNIVERSITY,87,88,87,86,89,80,77,68,64,59,58,49,49,46,34,
WORLD UNIVERSITY OF BANGLADESH,88,89,88,109,109,109,109,107,106,105,104,,,,,
BANGLADESH UNIVERSITY,89,86,85,80,79,82,80,78,91,105,104,85,84,,,
BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,90,87,86,84,78,77,78,71,71,67,67,73,65,61,57,51
EUROPEAN UNIVERSITY OF BANGLADESH,91,92,93,109,109,109,109,,,,,,,,,
CHITTAGONG INDEPENDENT UNIVERSITY,92,90,89,85,85,84,79,99,94,93,91,78,77,66,63,
CANADIAN UNIVERSITY OF BANGLADESH,93,93,90,98,97,98,97,90,85,79,77,66,66,,,
"NORTH WESTERN UNIVERSITY, KHULNA",94,94,95,93,92,93,92,77,78,75,72,,,,,
NORTHERN UNIVERSITY BANGLADESH,95,96,92,83,84,85,85,72,72,70,83,85,84,,,
"IMPERIAL COLLEGE OF ENGINEERING, KHULNA",96,91,91,82,83,81,83,107,106,105,104,,,,,
CHATTOGRAM POLYTECHNIC INSTITUTE,97,100,99,100,99,100,99,88,88,86,82,,,,,
BANGLADESH UNIVERSITY OF TEXTILES,98,97,97,99,100,99,100,92,92,90,87,,,,,
RANGPUR ENGINEERING COLLEGE,99,95,94,87,88,86,88,83,82,80,97,,,,,
UNIVERSITY OF GLOBAL VILLAGE,100,98,96,89,91,88,90,85,81,78,76,69,69,,,
GONO BISHWABIDYALAY (GONO UNIVERSITY),101,102,100,88,87,87,87,73,74,69,73,,,,,
RANGPUR POLYTECHNIC INSTITUTE,102,103,103,104,104,104,104,102,101,99,98,,,,,
ASIAN UNIVERSITY OF BANGLADESH,103,101,101,92,94,92,94,97,98,96,93,,,,,
UNIVERSITY OF LIBERAL ARTS BANGLADESH,104,104,102,94,95,94,95,82,77,74,69,65,64,,,
"UNIVERSITY OF CREATIVE TECHNOLOGY, CHITTAGONG",105,105,104,95,93,95,93,81,80,77,75,,,,,
INTERNATIONAL STANDARD UNIVERSITY,106,106,105,96,96,96,96,87,83,81,78,68,68,,,
TMSS ENGINEERING COLLEGE,107,107,106,97,98,97,98,91,86,84,81,72,72,,,
