Institution,Rating,NDUB 2026 Point,BUET 2026 Point,ICPC 2025 Point,CUET 2025 Point,MU 2025 Point,UU 2025 Point,DUET 2025 Point,AUST 2025 Point,UIU 2025 Point,KUET 2025 Point,ICPC 2024 Point,BUET 2024 Point,IUT 2024 Point,NCPC 2024 Point,SUST 2024 Point,CUET 2024 Point
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,3117,3026,3375,3170,3210,2956,3454,3344,2916,2651,2954,2342,2306,1976,2730,2927,2802
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,2869,2770,3337,2923,2615,2600,2661,2708,2728,2775,2686,3180,3268,3062,3171,3336,2850
UNIVERSITY OF DHAKA,2677,2527,2983,3057,2203,1388,2369,2373,2875,3092,2925,3037,3082,2508,3061,2454,1668
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,2520,3027,2779,2250,2407,2489,2003,2141,2404,2537,1846,2467,2481,2274,2014,631,1881
ISLAMIC UNIVERSITY OF TECHNOLOGY,2368,2797,2590,1990,2741,2041,2475,2658,2019,2474,1369,2231,2215,1936,2189,2372,1941
BRAC UNIVERSITY,2247,2643,2691,1767,1880,2337,2659,2713,1936,2659,2879,2209,2040,2776,2117,2730,2828
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1842,2301,1975,1823,1530,790,2260,2068,2232,1715,1689,1125,1179,2484,1693,1526,1779
COMILLA UNIVERSITY,1836,2204,1183,1969,1895,1098,1197,2001,829,1649,2339,2243,2110,2425,1288,2039,906
KHULNA UNIVERSITY,1797,3368,1236,608,814,,1468,1286,814,1446,1750,1665,1736,1934,725,,
JAHANGIRNAGAR UNIVERSITY,1793,1163,1749,2081,,1498,1931,1878,2098,2040,2080,1943,2441,2169,2278,1918,1472
NORTH SOUTH UNIVERSITY,1745,2563,1736,1151,1627,,2150,1961,1465,2105,1185,495,1338,685,1207,1770,1495
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,1739,2669,2763,1001,1094,834,191,1867,,,838,1396,1089,1679,1213,1982,1369
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,1709,1599,2871,1440,930,1022,2639,1272,1275,2724,1813,1848,2913,1597,2347,2645,867
DAFFODIL INTERNATIONAL UNIVERSITY,1701,1205,2150,1341,2423,2102,1670,1817,1081,1516,1799,1819,1705,1143,416,892,459
UNIVERSITY OF RAJSHAHI,1531,2412,1203,772,1583,1123,2254,2370,1306,1136,952,1353,1444,1899,1813,1458,2673
SYLHET ENGINEERING COLLEGE,1467,2180,1375,1072,1506,1432,865,1335,814,942,1398,1172,932,1120,607,555,1854
LEADING UNIVERSITY,1451,2270,1968,588,1460,690,2177,1693,566,,744,335,1507,1290,514,418,894
GREEN UNIVERSITY OF BANGLADESH,1418,1707,2008,290,2381,1611,808,530,638,432,894,428,1601,383,156,790,216
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,1403,807,1614,1306,1966,1859,1578,1372,1144,1227,630,148,1236,266,858,584,
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,1371,1135,1891,1244,2004,872,1590,1804,601,1026,692,59,741,1688,1185,1874,1930
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,1348,1330,1359,1085,1920,996,2005,1784,1086,1880,1100,941,2483,1493,1721,1829,1895
ISLAMIC UNIVERSITY,1296,2512,1118,559,111,690,1133,912,328,170,461,1494,1418,779,367,1235,
UNIVERSITY OF CHITTAGONG,1256,1313,615,1555,407,,1152,1145,1272,1295,1213,1327,295,415,777,549,1009
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,1206,1512,1187,920,1497,1071,868,1949,1037,1498,815,1058,923,503,1044,1096,473
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,1148,808,1126,1087,1344,1784,,1043,289,737,944,608,580,1387,605,1630,1438
METROPOLITAN UNIVERSITY,1141,647,1815,1235,772,949,2033,962,533,1004,522,158,174,375,568,630,989
EAST WEST UNIVERSITY,1137,1452,723,757,815,720,2548,2514,689,1620,1267,1187,2521,1375,783,1584,2186
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,1011,1317,960,538,1591,992,731,1201,,,674,540,1079,1081,135,367,573
UNIVERSITY OF BARISAL,944,792,1743,356,731,,2360,479,318,,297,768,256,,305,1836,440
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,944,841,1453,79,512,,2404,489,583,,2413,1235,2680,1857,1012,1512,930
