Institution,Score In NSU 2026,Score In NDUB 2026,Score In BUET 2026,Score In ICPC 2025,Score In CUET 2025,Score In MU 2025,Score In UU 2025,Score In DUET 2025,Score In AUST 2025,Score In UIU 2025,Score In KUET 2025,Score In ICPC 2024,Score In BUET 2024,Score In IUT 2024,Score In NCPC 2024,Score In SUST 2024,Score In CUET 2024
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,3258.3836332325955,3026.2303291527082,3375.0328864186513,3170.4124549397275,3209.9763067280364,2956.389900415218,3453.702507082779,3344.485951457249,2915.8147500697864,2650.7657204979155,2953.624448756534,2341.654774158252,2305.8441749112358,1976.3101421958243,2729.8452480196997,2926.700729557492,2802.4634448016486
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,2821.200028207964,3026.9076650207076,2778.8454972710188,2249.9501757669873,2407.249950321534,2489.1309607091307,2003.4756249127463,2140.940371073107,2403.620245593059,2537.21895619856,1845.766682743746,2466.6285137330624,2481.187534463531,2273.6631770848526,2014.2906594203748,630.7704048086757,1880.9675604066508
UNIVERSITY OF RAJSHAHI,2549.904891874791,2412.1565883553244,1203.3011426548528,772.1049682847942,1583.4146978631954,1122.9777485539778,2253.67285561526,2369.590980199878,1305.8432628036703,1135.8176253630832,952.2291294994326,1353.1482068487537,1443.5147277736014,1899.1006041595488,1813.2273133491478,1458.2694376274387,2672.889623431342
BRAC UNIVERSITY,2531.6394384719565,2642.778681033258,2691.284967581487,1767.0556967081877,1880.177807850108,2336.6572100958897,2659.160724104954,2712.940879682662,1935.6735647338742,2658.8628361028027,2878.54317011947,2209.3416237896313,2040.4840523916382,2775.5133913384902,2117.175819486922,2730.3287911477796,2827.522871407562
UNIVERSITY OF DHAKA,2223.459502165233,2526.8928844944394,2983.0255561994954,3056.9439266240324,2203.182386405761,1387.6467694178161,2369.381815503561,2372.5652354110453,2875.439173264302,3092.3064996357866,2925.3563319901955,3037.0975165469213,3082.2181395371904,2508.3722661399293,3060.692128432624,2454.0021281347595,1668.1958743435814
JAHANGIRNAGAR UNIVERSITY,2161.9453629818877,1162.9030862789582,1749.0823004855026,2080.935799402222,,1498.2666036079142,1931.2881998588969,1878.2217408329566,2098.0762917100747,2040.3618803583825,2079.9729045107,1943.4187709823184,2440.6714436158436,2169.2032736172355,2277.5563520130677,1917.9567166402237,1472.1206876924848
ISLAMIC UNIVERSITY OF TECHNOLOGY,2161.066700755116,2796.582683347466,2590.40619038522,1989.7654796683169,2741.2305490329327,2040.9225561603328,2474.782775009656,2658.060355033189,2019.3067773987113,2474.37814875563,1368.7243726579395,2230.5953917285497,2215.2703119641437,1936.3382859267745,2188.5740654948113,2371.933001253008,1941.101789995724
NORTH SOUTH UNIVERSITY,1884.6217411638715,2562.874087705085,1736.0446005562853,1150.5221470618183,1626.9373823781032,,2150.00588085625,1960.9643630842195,1465.4011487293033,2105.3417357737762,1185.3740308273414,495.4694492896441,1338.393410472018,685.1017934695737,1207.2547574150242,1769.8989870094053,1494.6169732776896
GREEN UNIVERSITY OF BANGLADESH,1821.1408616877707,1706.856010534262,2007.6808045595578,290.4760696142833,2381.2322618089097,1611.1164028784685,808.2797276020501,529.7302668854419,637.6888125848961,431.7254778749913,893.7892192254196,427.5673866024615,1600.8873544754513,382.72260888132683,156.19164700904153,790.1978868798427,216.4140980286886
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,1785.0253156366703,2770.1224504408883,3337.3545887170103,2923.3389806311443,2615.3491307390013,2599.592287518952,2661.430844748168,2707.610549315549,2728.187649290012,2775.132410226921,2686.3621164050637,3179.71205105403,3268.240331142375,3061.806988195085,3170.513184839873,3336.10952233055,2850.4600672739925
