Institution,Score Rank In NSU 2026,Score Rank In NDUB 2026,Score Rank In BUET 2026,Score Rank In ICPC 2025,Score Rank In CUET 2025,Score Rank In MU 2025,Score Rank In UU 2025,Score Rank In DUET 2025,Score Rank In AUST 2025,Score Rank In UIU 2025,Score Rank In KUET 2025,Score Rank In ICPC 2024,Score Rank In BUET 2024,Score Rank In IUT 2024,Score Rank In NCPC 2024,Score Rank In SUST 2024,Score Rank In CUET 2024
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1,3,1,1,1,1,1,1,1,5,1,4,9,8,3,2,3
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,2,2,5,4,5,3,16,8,4,6,8,3,7,6,8,30,10
UNIVERSITY OF RAJSHAHI,3,11,23,23,15,13,11,7,11,20,19,14,18,11,9,18,4
BRAC UNIVERSITY,4,7,7,9,12,4,3,2,8,4,3,7,12,2,7,3,2
UNIVERSITY OF DHAKA,5,9,3,2,7,12,8,6,2,1,2,2,2,3,2,5,13
JAHANGIRNAGAR UNIVERSITY,6,26,15,5,,10,17,13,6,9,7,8,8,7,5,9,15
ISLAMIC UNIVERSITY OF TECHNOLOGY,7,4,8,6,2,6,6,4,7,7,14,6,10,9,6,6,6
NORTH SOUTH UNIVERSITY,8,8,17,16,13,,13,11,9,8,17,30,20,29,14,13,14
GREEN UNIVERSITY OF BANGLADESH,9,16,10,39,6,9,31,40,25,34,22,33,16,35,44,25,45
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,10,5,2,3,3,2,2,3,3,2,4,1,1,1,1,1,1
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,11,27,13,14,8,23,19,16,26,22,27,59,30,13,15,10,7
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,12,18,24,21,18,15,29,12,18,15,25,20,27,30,16,21,33
UNIVERSITY OF CHITTAGONG,13,22,35,10,39,,24,25,13,17,16,15,42,33,22,37,19
DAFFODIL INTERNATIONAL UNIVERSITY,14,25,9,12,4,5,18,15,16,14,10,10,15,21,31,23,34
LEADING UNIVERSITY,15,13,12,28,19,29,12,18,28,,26,36,17,19,29,40,23
COMILLA UNIVERSITY,16,14,25,7,11,14,23,10,19,12,6,5,11,5,12,7,22
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,17,31,18,13,9,7,20,20,14,19,30,46,21,47,19,34,
